SKU;NOME;EMAIL;WHATS;CIDADE;SEGMENTO
500406;ALLIANCE CARE ESPECIALIDADES VETERINARIAS SS;contato@alliancecare.com.br;;SJRPRETO ;VETERINARIA
1599;HOSPITAL TEREZINHA DE JESUS ;carlatomaz@hmtj.org.br;;SJCAMPOS;HOSPITAL
50327;SAUDE ANIMAL;saudeanimal.vet@hotmail.com;;ARARAQUARA;VETERINARIA
500457;JULIA W MED VETERINARIA ;julia.west.vet@gmail.com;;Poços de Caldas;VETERINARIA
500474;SANTIAGO VET ;santiagovet.lab@gmail.com;;MOGI MIRIM;VETERINARIA
500378;CAMILA FALASCA;falasca_c@hotmail.com;;MARILIA;VETERINARIA
500423;REPROCANIS ;centro.hemanili@outlook.com;;CAMPINAS;VETERINARIA
500593;VET FARO;contato@vetfaro.com.br;;INDAIATUBA;VETERINARIA
500584;AGROCAMPO;tales.de.lima.ferreira@gmail.com;;NHANDEARA;VETERINARIA
500605;LABORATORIO DNASE;financeiro@dnase.com.br;;ITUIUTABA;LABORATORIO
51118;ANDRE B SCATOLINI CLINICA VETERINARIA;clinica.scatolini@outlook.com;;PIRASSUNUNGA;VETERINARIA
500608;LABORATORIO VECTA;carinars@hotmail.com;;PIEDADE;VETERINARIA
500599;HOSPITAL NASR FAIAD LTDA;camila.ferreira@hnf.com.br;;CATALÃO;HOSPITAL
500628;DANILA AUGUSTA MENEGUETI;centro-veterinario@homail.com;;CATANDUVA;VETERINARIA
1803;HELENA NOBUKO OI ME;psvtsaofrancisco@gmail.com;;AMPARO;VETERINARIA
500658;INST. DE ENSINO SUPERIOR DE INDAIATUBA;compras.gustavo@unieduk.com.br;;INDAIATUBA;VETERINARIA
500766;N. J. SADOKA - VET ;healthcare.admjns@gmail.com;;BOTUCATU ;VETERINARIA
1090;UPA VET MATAO LTDA;upavetmatao@gmail.com;;MATÃO;VETERINARIA
50542;LABORATORIO DE PATOLOG CLIN DR FRANCESCHI LTDA;compras@labfranceschi.com.br;;CAMPINAS;LABORATORIO
220;FUNDACAO DOUTOR AMARAL CARVALHO;compras.guilherme@amaralcarvalho.org.br;;JAU;HOSPITAL
1565;STA CASA DE GUARATINGUETA;;;GUARATINGUETA;HOSPITAL
500771;GRAZIELI OTAVIANI ;graziotaviani@gmail.com;;DESCALVADO;VETERINARIA
50030;D D PRADO LAB VETERINARIO;daniele@vetprado.com.br;;INDAIATUBA;VETERINARIA
500814;HC VETERINARIA LTDA;hzcarelli@gmail.com;;MATÃO;VETERINARIA
500808;PAULIVET PAULINIA;paulivet.paulinia@gmail.com;;PAULIINIA;VETERINARIA
500485;PROANALISE VET ;proanalise.vet@gmail.com;;CATANDUVA;VETERINARIA
50826;HOSPI VET CASA DO CRIADOR ;financeiro@casadocriadormarilia.com.br;;MARILIA;VETERINARIA
834;SODRE ;slcompras@laboratoriosodre.com.br;;LINS ;HOSPITAL
500783;DMS BURNIER ;compras@analizalab.com.br;;VALINHOS;LABORATORIO
500680;CENTRO DE VACINAS ;contato@verumdiagnostico.com.br;;BAURU;LABORATORIO
500952;VERUM;contato@verumdiagnostico.com.br;;HORTOLANDIA;VETERINARIA
3377;ALPADELY LAB VETERINARIO;alpadely.labvet@gmail.com;;MARILIA ;VETERINARIA
500331;ANIMALPET;contato@clinicaanimalpet.com.br;;MOGI MIRIM;VETERINARIA
500449;HEMOCLIN PET ;adm@hemoclinpet.com.br;;CAMPINAS;VETERINARIA
500523;CLÍNICA DR GUSTAVO CAMARGO;gustavo.veterinario@yahoo.com.br;;SUMARE;VETERINARIA
500974;LAB CLEAN;diegopereirafama@gmail.com.br;;POÇOS DE CALDAS;HOSPITAL
500914;ANIMAL LAB;;;SÃO J DA BOA VISTA;VETERINARIA
500957;FUCAMP;;;SUMARE;HOSPITAL
907;SILVEIRA & ENGEL S/S LTDA - DELTA ;;;SÃO CARLOS ;LABORATORIO
173;BIOMED;;;ITAI ;LABORATORIO
500424;A L DOS SANTOS CAMPOS LABORATORIO LTDA;;;TAQUARITUBA;LABORATORIO
500886;NNM;;;ARARAS;LABORATORIO
50977;PETLAB;;;ATIBAIA;VETERINARIA
501018;CENPAC;;;MARILIA;LABORATORIO
